"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3, C5, C6, C7, C8, C17, C24","8","0.001u","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"2","C2","1","3p","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"3","C4, C23","2","5p","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"4","C9","1","47u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"5","C10, C15, C25","3","0.1u","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"6","C11, C22","2","0.01u","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"7","C12","1","10u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"8","C13, C16","2","100u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"9","C14","1","470u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"10","C18","1","30p","Library:c_trim",""
"11","C19, C20","2","100p","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"12","C21","1","15p","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"13","C26","1","0.1u","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"14","C27","1","0.047u","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"15","D1","1","1S1588","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"16","D2","1","1S1588","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp",""
"17","J1","1","Jack-DC","Library:2.5jack",""
"18","J2","1","batt","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"19","J3","1","ant","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"20","L1, L2, L5","3","07S144","Library:FCZ",""
"21","L3","1","10uH","Inductor_THT:L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",""
"22","L4","1","07S50","Library:FCZ",""
"23","Q1","1","2SC1906","Package_TO_SOT_THT:TO-92_Inline_Wide",""
"24","R1, R3","2","300","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"25","R2","1","18","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"26","R4, R5, R6, R10, R11, R12","6","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"27","R7","1","10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"28","R8","1","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"29","R9","1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"30","RV1","1","5k","Potentiometer_THT:Potentiometer_Alps_RK09Y11_Single_Horizontal",""
"31","RV2","1","10k","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical",""
"32","SW1","1","SW_SPST","Button_Switch_THT:SW_CuK_JS202011CQN_DPDT_Straight",""
"33","U1","1","NE612","Package_DIP:DIP-8_W7.62mm",""
"34","U2, U5","2","2SK439","Package_TO_SOT_THT:TO-92_Inline_Wide",""
"35","U3","1","L7805","Package_TO_SOT_THT:TO-220-3_Vertical",""
"36","U4","1","LM386","Package_DIP:DIP-8_W7.62mm",""
"37","Y1","1","16MHz","Crystal:Crystal_HC49-4H_Vertical",""
